canonical_smiles,pIC50,MaxAbsEStateIndex,MaxEStateIndex,MinAbsEStateIndex,MinEStateIndex,qed,SPS,MolWt,HeavyAtomMolWt,ExactMolWt,NumValenceElectrons,NumRadicalElectrons,MaxPartialCharge,MinPartialCharge,MaxAbsPartialCharge,MinAbsPartialCharge,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,BCUT2D_MWHI,BCUT2D_MWLOW,BCUT2D_CHGHI,BCUT2D_CHGLO,BCUT2D_LOGPHI,BCUT2D_LOGPLOW,BCUT2D_MRHI,BCUT2D_MRLOW,AvgIpc,BalabanJ,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,HallKierAlpha,Ipc,Kappa1,Kappa2,Kappa3,LabuteASA,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,SMR_VSA1,SMR_VSA10,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA8,SMR_VSA9,SlogP_VSA1,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,SlogP_VSA9,TPSA,EState_VSA1,EState_VSA10,EState_VSA11,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,VSA_EState1,VSA_EState10,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9,FractionCSP3,HeavyAtomCount,NHOHCount,NOCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAmideBonds,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumAtomStereoCenters,NumBridgeheadAtoms,NumHAcceptors,NumHDonors,NumHeteroatoms,NumHeterocycles,NumRotatableBonds,NumSaturatedCarbocycles,NumSaturatedHeterocycles,NumSaturatedRings,NumSpiroAtoms,NumUnspecifiedAtomStereoCenters,Phi,RingCount,MolLogP,MolMR,fr_Al_COO,fr_Al_OH,fr_Al_OH_noTert,fr_ArN,fr_Ar_COO,fr_Ar_N,fr_Ar_NH,fr_Ar_OH,fr_COO,fr_COO2,fr_C_O,fr_C_O_noCOO,fr_C_S,fr_HOCCN,fr_Imine,fr_NH0,fr_NH1,fr_NH2,fr_N_O,fr_Ndealkylation1,fr_Ndealkylation2,fr_Nhpyrrole,fr_SH,fr_aldehyde,fr_alkyl_carbamate,fr_alkyl_halide,fr_allylic_oxid,fr_amide,fr_amidine,fr_aniline,fr_aryl_methyl,fr_azide,fr_azo,fr_barbitur,fr_benzene,fr_benzodiazepine,fr_bicyclic,fr_diazo,fr_dihydropyridine,fr_epoxide,fr_ester,fr_ether,fr_furan,fr_guanido,fr_halogen,fr_hdrzine,fr_hdrzone,fr_imidazole,fr_imide,fr_isocyan,fr_isothiocyan,fr_ketone,fr_ketone_Topliss,fr_lactam,fr_lactone,fr_methoxy,fr_morpholine,fr_nitrile,fr_nitro,fr_nitro_arom,fr_nitro_arom_nonortho,fr_nitroso,fr_oxazole,fr_oxime,fr_para_hydroxylation,fr_phenol,fr_phenol_noOrthoHbond,fr_phos_acid,fr_phos_ester,fr_piperdine,fr_piperzine,fr_priamide,fr_prisulfonamd,fr_pyridine,fr_quatN,fr_sulfide,fr_sulfonamd,fr_sulfone,fr_term_acetylene,fr_tetrazole,fr_thiazole,fr_thiocyan,fr_thiophene,fr_unbrch_alkane,fr_urea
C(=C/c1ccccc1)\CN1CCN(C(c2ccccc2)c2ccccc2)CC1,7.130768280269024,2.627060185185185,2.627060185185185,0.33741745514653165,0.33741745514653165,0.5966660766331066,16.035714285714285,368.5240000000001,340.3000000000001,368.225248896,142,0,0.06021853476125459,-0.29713306349585733,0.29713306349585733,0.06021853476125459,0.6428571428571429,1.1428571428571428,1.6785714285714286,15.269525616740598,9.962131321825263,2.2527224419639134,-2.391512836846259,2.2888405546485546,-2.472947194374764,5.483144939236922,0.11757998298511374,2.77340388805271,1.3986674434807922,800.8146394075634,19.0204508012418,16.322265942345922,16.322265942345922,13.898979485566358,10.178995554981862,10.178995554981862,7.3735331311806265,7.3735331311806265,5.476133129050381,5.476133129050381,3.9908702470274298,3.9908702470274298,-2.679999999999999,4689493.166230567,18.672580676050945,9.495927553363686,4.776071181203047,168.28936160149112,0.0,0.0,0.0,0.0,0.0,0.0,9.799819461700956,0.0,0.0,0.0,103.14754624059195,16.690354475090988,32.72378202956288,6.041840829147961,0.0,6.076020106833881,0.0,9.799819461700956,0.0,6.041840829147961,32.72378202956288,113.76188060884907,0.0,0.0,0.0,0.0,0.0,0.0,42.52360149126383,0.0,0.0,22.732195304238946,97.07152613375807,0.0,6.076020106833881,0.0,6.48,0.0,0.0,0.0,0.0,6.041840829147961,32.72378202956288,16.690354475090988,0.0,0.0,112.94736570229293,0.0,0.0,0.0,5.171689814814815,0.0,4.033890805698929,0.0,32.701247820739304,4.513872931888805,5.412631960191484,0.0,0.23076923076923078,28,0,2,0,1,1,0,3,0,3,0,0,2,0,2,1,6,0,1,1,0,0,6.332624047647088,4,5.1070000000000055,118.21600000000004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C/C(=N\OC(=O)Nc1ccccc1)c1cccc(-c2cccs2)c1,5.0,11.763167797243373,11.763167797243373,0.6157764865205337,-0.6157764865205337,0.39448721077816745,11.125,336.41600000000005,320.288,336.093248752,120,0,0.4373412466640391,-0.29750319331072744,0.4373412466640391,0.29750319331072744,1.0416666666666667,1.875,2.625,32.13347386880588,10.069300188880648,2.0549887164958665,-2.047639765511012,2.2497043862696695,-2.1135461513095923,7.1307944579029945,0.1662527071158177,3.152569709388773,1.6735603603592233,817.494462576088,16.77781011412252,13.100161697167062,13.916658278094788,11.720346690612276,7.441648288506703,8.321301099761598,5.104573277886688,6.0522674708855595,3.371713205265058,4.290649726585871,2.165114311165216,2.8890425038991965,-2.919999999999998,506365.7467220247,15.956087694373275,7.567604537797588,4.083815494343285,143.95507164372316,0.0,0.0,0.0,0.0,0.0,6.093240070938415,10.154377187742964,4.794537184071822,0.0,11.336785877934737,47.62028220598181,47.69617122739697,10.564533468384862,5.711685002770702,9.632125767808455,28.829097226327416,0.0,0.0,5.15571272675054,6.923737199690624,5.316788604006331,77.67355201524063,0.0,10.440598685398296,5.316788604006331,10.481923458755384,0.0,11.336785877934737,11.804925073709118,4.8375885837366335,0.0,12.487188691387619,77.26581325029417,0.0,10.440598685398296,0.0,50.69,6.093240070938415,4.794537184071822,0.0,0.0,11.399071277454265,11.126902983393991,4.877147193701299,23.469520014857956,60.834736517849414,16.53886839921848,4.8375885837366335,0.0,1.6806930792261432,17.883822552816923,8.578506461405091,3.324872041855719,0.0,21.172354195509925,-0.6157764865205337,1.8088614890400605,0.0,0.05263157894736842,24,1,4,0,0,0,1,2,1,3,0,0,4,1,5,1,4,0,0,0,0,0,5.031223401726478,3,5.387800000000003,98.51170000000002,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
CC(=O)N1CCC(=C2c3ccc(Cl)cc3CCc3cccnc32)CC1,7.0,11.653862328014565,11.653862328014565,0.16261433782267143,0.16261433782267143,0.708707571621287,16.96,352.8650000000001,331.6970000000001,352.13424097200004,128,0,0.21896313650677013,-0.34230101973650023,0.34230101973650023,0.21896313650677013,1.08,1.84,2.6,35.49569160520406,9.883753502192054,2.250618073555048,-2.292019813401888,2.378666148117744,-2.3441820314554107,6.3027798122084295,-0.12873754668306647,2.781951226100186,1.8583874450385567,840.0920742491606,17.388540578131753,14.38738225673005,15.143311202748505,12.131030293135236,8.8385636343645,9.216528107373726,6.797221191059736,7.233656971531722,5.294256421804111,5.529353524591849,3.974786632775315,4.16948685915023,-2.1299999999999994,743682.3295660061,16.34447116346503,6.64206422901468,3.089056817688691,152.88092310835967,4.899909730850478,0.0,0.0,5.907179729351506,0.0,0.0,9.77851570501903,0.0,0.0,0.0,29.306778557225,60.572742172179844,36.80583142693944,5.693927994848461,4.794537184071822,23.081224149653288,0.0,9.883888251797686,0.0,32.60702369139466,13.08951281182515,69.50869922767117,0.0,0.0,0.0,0.0,0.0,11.600939890232516,28.880580792974342,17.63618042992384,0.0,42.14966291548208,42.1017834439904,5.022633313741326,5.573104530069267,0.0,33.2,0.0,4.794537184071822,0.0,5.907179729351506,0.0,49.48936061211898,27.83656353522952,6.923737199690624,23.229487439386773,18.19910120538483,16.584918411179725,0.0,6.252848852597529,18.327196658660405,0.785568785237797,7.627019505332999,0.16261433782267143,10.401049959962897,5.655552388650934,3.2325939561792136,0.0,0.3333333333333333,25,0,3,1,1,2,1,1,1,2,0,0,2,0,4,2,0,0,1,1,0,0,4.342441090280521,4,4.277800000000004,100.60700000000004,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2,0,0,0,1,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
CC(=O)Nc1c(F)cc(C(=O)N[C@H]2CC[C@H](O)CC2)cc1O[C@@H](C)c1ccccc1,4.600000074606178,14.806189891858182,14.806189891858182,0.06333974125054609,-0.7433536470143614,0.6677769620224572,19.6,414.47700000000015,387.2610000000002,414.195485564,160,0,0.25124040220161126,-0.48370835928731526,0.48370835928731526,0.25124040220161126,1.1333333333333333,1.8,2.433333333333333,19.142218158742676,9.927207611879675,2.2347873336998347,-2.260847723879952,2.3318592754127194,-2.381910366276157,5.968727752246994,-0.11378729902655632,2.71988231877827,1.8389329704462312,862.411365745857,21.67299762850792,17.151852756543228,17.151852756543228,14.3294075958929,10.148333663480004,10.148333663480004,7.6620639946240265,7.6620639946240265,5.221924561140769,5.221924561140769,3.574269484498904,3.574269484498904,-2.9299999999999993,4564223.63961254,21.771094081649828,9.714049079383614,5.568968979829303,174.99311238232718,20.476967556653417,17.54086449571577,5.817220841045895,5.907179729351506,5.907179729351506,0.0,9.589074368143644,4.39041504767482,0.0,0.0,30.33183534230805,50.30320932001487,18.52902952053558,6.103966387748303,23.822879764459216,17.501745733386574,0.0,5.316788604006331,0.0,57.78053449572985,5.316788604006331,59.40869330367115,0.0,5.749511833283905,15.370440161812711,10.077801322358383,5.749511833283905,0.0,29.06669407043998,4.794537184071822,5.817220841045895,61.5561674462994,42.46456947923127,0.0,0.0,0.0,87.66000000000001,23.735546687497205,19.086016810659167,0.0,29.146156816560726,25.683286491704038,11.629818560158606,12.990104268152233,0.0,37.255572541998674,10.633577208012662,4.736862953800049,20.74653654536501,0.0,24.253285317707352,14.966164029665528,0.8962097640448115,-1.5102726947942489,11.865480199130541,1.8591556354838894,3.0901078700637825,0.0,0.391304347826087,30,3,6,1,0,1,2,2,0,2,1,0,4,3,7,0,6,1,0,1,0,0,7.0495158807008185,3,3.9574000000000034,111.91770000000002,0,1,1,0,0,0,0,0,0,0,2,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CC(=O)c1ccccc1OCC(O)CN1CCC(=C2c3ccc(Cl)cc3CCc3cccnc32)CC1,7.678194516142461,11.815017676905162,11.815017676905162,0.04619644612565388,-0.6367051909530268,0.458782544772466,16.63888888888889,503.04200000000026,471.7940000000003,502.20232053200004,186,0,0.16302208119748096,-0.4900821213578684,0.4900821213578684,0.16302208119748096,1.0555555555555556,1.8333333333333333,2.638888888888889,35.495692187287794,9.883119125445678,2.2560808393293543,-2.313117490968996,2.380195053329628,-2.3903715912704233,6.302826673523593,0.06495400739125573,3.0456285790668822,1.2850903270426344,1260.7007425507852,25.070338854006454,20.543809051015092,21.299737997033546,17.49120363844137,12.576029622322615,12.953994095331842,9.608936546054393,10.045372326526378,7.108075821335313,7.343172924123052,5.308857165088053,5.5035573914629685,-2.989999999999999,183477022.80780995,24.693275535263954,10.954021731065465,5.385774121853223,216.94062263931644,9.843390348640755,18.460360185545127,5.783244946364939,0.0,0.0,0.0,14.678425435869507,0.0,0.0,0.0,41.43951269414822,79.62921350879371,36.42685063316139,11.257379486545457,14.637927532712576,22.95728936666672,0.0,9.883888251797686,0.0,38.71099007914296,26.241151182250643,99.33761899321462,0.0,5.749511833283905,4.736862953800049,0.0,5.749511833283905,11.600939890232516,53.118778163002276,12.841643245852019,0.0,52.507651591250905,66.36725171783684,5.022633313741326,5.573104530069267,0.0,62.660000000000004,6.103966387748303,9.901064578912528,0.0,12.390126910877857,17.857719730893475,49.48936061211898,34.76030073492014,12.13273413692322,30.462311845459517,23.099010936235306,21.321781364979774,5.793850139218902,6.342151652703158,18.912709205658444,11.41646424214907,8.128896282950112,0.4751103485076056,17.592413078734463,5.009309802990508,3.9402063581988496,0.0,0.3333333333333333,36,1,5,1,1,2,0,2,1,3,1,0,5,1,6,2,6,0,1,1,0,1,7.513629911790793,5,5.3738000000000055,142.74129999999985,0,1,1,0,0,1,0,0,0,0,1,1,0,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
CC(C(=O)O)c1ccc2c(c1)N(CCCN1CCCN(c3cc(=O)n(C)c(=O)n3C)CC1)c1ccccc1CO2,6.892790030352131,12.432265697961306,12.432265697961306,0.28972129984422,-0.8540887687380934,0.4821986645607668,16.375,547.6560000000002,510.3600000000004,547.2794692839999,212,0,0.33152666806227,-0.48663972593273214,0.48663972593273214,0.33152666806227,0.95,1.75,2.55,16.478891904292922,9.996766344049526,2.246429866484609,-2.2821414823424653,2.4072096291539276,-2.410576674244048,5.785170123779055,-0.13786601373355523,3.2823484062722255,1.304173092964267,1470.603570406229,28.388176099202237,23.37638818824076,23.37638818824076,19.240091198415858,13.836808223687676,13.836808223687676,10.633291041736976,10.633291041736976,8.079042656710186,8.079042656710186,5.602504422942893,5.602504422942893,-4.05,1043013078.0282412,27.514377248782505,11.592019911642897,5.48848776821534,233.17420405364712,24.54311954119219,18.17425657563185,0.0,0.0,5.559266895052007,11.659048686155323,18.723273663726353,4.794537184071822,0.0,0.0,24.26546827384644,56.617445954449614,57.59157442384684,11.605292320844956,14.637927532712578,23.161940615154002,0.0,14.034109026433189,14.09534396535438,32.29016845621695,49.068357897176405,80.495924192486,0.0,5.749511833283905,25.785692708756486,17.19263532720215,5.749511833283905,0.0,64.37848014470119,25.49676311393912,0.0,36.81018947509803,58.120010915836524,0.0,0.0,0.0,100.25000000000001,11.887211334113243,19.49013894705617,0.0,11.24901029325548,12.424744742347947,84.92846869516384,7.04767198267719,24.60487589862078,30.33183534230805,26.832463329474653,4.736862953800049,8.824328498176705,0.0,43.199616757999976,9.586027900534893,3.2095460196777017,-0.05159214557584779,15.42723193382005,1.8332439941137149,7.094265552722395,3.2106648218637392,0.43333333333333335,40,1,10,0,2,2,0,2,1,3,1,0,9,1,10,3,7,0,1,1,0,1,7.973680223108528,5,2.9050000000000002,155.08379999999974,1,0,0,0,0,2,0,0,1,1,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,2,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CC(C(=O)O)c1ccc2c(c1)N(CCCN1CCCN(c3cc(=O)n(C)c(=O)n3C)CC1)c1ccccc1S2,7.142667503568731,12.41522866092427,12.41522866092427,0.2820682386197302,-0.8226793299625832,0.4792584607387732,16.384615384615383,549.6970000000002,514.4170000000004,549.2409756,206,0,0.33152666806227,-0.4807884945465157,0.4807884945465157,0.33152666806227,0.9230769230769231,1.6923076923076923,2.4871794871794872,32.166582093845975,10.0003692149625,2.255580937626922,-2.337728458093314,2.483203940879429,-2.4106292652234895,7.993781936612922,-0.1378643764401284,3.180189084214722,1.2812160786057682,1454.0842225351444,27.68106931801569,22.669281407054214,23.48577798798194,18.740091198415858,13.398703843731521,14.215200424659248,10.285690342043285,11.369467298530108,7.789423190894819,8.919691569728744,5.399970391105504,6.476077212468239,-3.4999999999999996,628864048.0728235,27.081477327351386,11.313499890422968,5.48618690955625,231.81882673510884,19.80625658739214,5.817862777835028,0.0,0.0,5.559266895052007,11.659048686155323,18.723273663726353,4.794537184071822,0.0,0.0,29.960986154775945,62.683813022911224,56.13170360850184,17.292678595528518,9.901064578912528,34.92382556454512,0.0,14.034109026433189,14.09534396535438,35.47425344273958,49.068357897176405,74.932472700789,0.0,0.0,21.048829754956436,17.19263532720215,0.0,11.761884949391115,64.37848014470119,18.889881149426202,0.0,31.246737983401033,67.91097786687207,0.0,0.0,0.0,91.02000000000001,11.887211334113243,19.49013894705617,0.0,11.24901029325548,5.817862777835028,78.51098884570071,11.943155458194965,36.36676084801189,18.19910120538483,38.965197466397875,0.0,2.688587746093884,1.7284222183354905,45.56625970403364,9.556514011646003,2.445164055883345,-0.7124469562249965,15.942931583173547,1.8962069570766777,6.833852852166288,3.2211744944827867,0.41379310344827586,39,1,9,0,2,2,0,2,1,3,1,0,9,1,10,3,7,0,1,1,0,1,7.856058737832872,5,3.4772000000000016,154.87479999999974,1,0,0,0,0,2,0,0,1,1,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CC(C(O)c1ccc(O)cc1)N1CCC(Cc2ccccc2)CC1,6.0,10.60997905491908,10.60997905491908,0.09001679684219321,-0.5173395003598833,0.8793321565506861,19.083333333333332,325.45200000000006,298.23600000000005,325.20417910400005,128,0,0.11509812252331941,-0.5079666181604584,0.5079666181604584,0.11509812252331941,1.0,1.625,2.25,16.269524820573203,9.886715297452998,2.2708830351203693,-2.3779145886086988,2.276628443338884,-2.427589337971931,5.275341092880854,0.037308755486458976,2.625891372321881,1.5264429830796686,602.2463870599252,16.94094682093905,14.305377922708127,14.305377922708127,11.631030293135234,8.882167915949488,8.882167915949488,6.946040097480741,6.946040097480741,5.283840619524162,5.283840619524162,3.661461422112438,3.661461422112438,-1.8399999999999994,364347.6796924056,16.99836783474409,7.821097053289891,4.1637086512391575,144.11544637619664,10.213054789681411,5.749511833283905,0.0,0.0,0.0,0.0,4.899909730850478,0.0,0.0,0.0,42.46456947923127,68.45325804677242,6.041840829147961,6.103966387748303,10.213054789681411,0.0,0.0,4.899909730850478,5.917906046161393,38.33200928536492,13.08951281182515,65.72420659954848,0.0,5.749511833283905,0.0,0.0,5.749511833283905,0.0,34.244318161505,6.4208216229260096,5.917906046161393,36.99624981668494,54.59730361615449,0.0,0.0,0.0,43.7,6.103966387748303,10.213054789681411,0.0,11.791352662431866,0.0,30.99169197260955,18.405094737549014,24.26546827384644,0.0,42.15548227284915,0.0,0.0,0.0,2.3879138321995463,19.993968847293612,2.2915143200320878,0.9740690683420871,17.68603610583145,3.0031375655302415,4.163360260770975,0.0,0.42857142857142855,24,2,3,0,1,1,0,2,0,2,2,0,3,2,3,1,5,0,1,1,0,2,5.539411857627278,3,3.7688000000000033,96.97160000000005,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CC(C)(C(=O)O)c1ccc(C(O)CCCN2CCC(C(O)(c3ccccc3)c3ccccc3)CC2)cc1,7.286906233218219,12.05582860793869,12.05582860793869,0.13213695223019206,-1.00776675170213,0.3413059210334571,16.43243243243243,501.66700000000014,462.35500000000036,501.287908728,196,0,0.3130463238901625,-0.4805900937855873,0.4805900937855873,0.3130463238901625,0.8648648648648649,1.3783783783783783,1.864864864864865,16.36800384873103,9.717897709798045,2.409753951883983,-2.4208445800196254,2.4155354640750555,-2.4406350384893556,5.7975057940814345,-0.1420131642462863,2.9357090983277616,1.3110460793887624,1072.1754250306665,26.468044558434492,21.884454447803545,21.884454447803545,17.724235880370358,13.30304947920262,13.30304947920262,10.82453399900071,10.82453399900071,8.109897200572073,8.109897200572073,5.517229509408694,5.517229509408694,-2.989999999999999,195844207.08690724,27.055745831636234,11.594940331257959,5.955035570194022,219.95300700648343,20.219491915372593,5.601050810983688,0.0,0.0,0.0,5.969305287951849,4.794537184071822,0.0,0.0,0.0,84.92913895846256,87.33674212177239,0.0,11.518956857145081,20.11411936859394,5.969305287951849,0.0,4.899909730850478,5.917906046161393,56.65076855921406,19.634269217737724,107.18294492525057,0.0,0.0,0.0,0.0,0.0,0.0,45.823066421062165,15.81057846445229,5.917906046161393,67.88853324562157,84.92913895846256,0.0,0.0,0.0,81.0,23.08931295608062,20.11411936859394,0.0,5.917906046161393,6.4208216229260096,61.150540053303736,0.0,25.980208536304467,72.79640482153933,4.899909730850478,0.0,0.0,0.0,13.912285407597548,32.16374040119014,1.4721093322471974,-0.7330986835525353,27.305144240514,2.7673345118272756,6.112484790176369,0.0,0.40625,37,3,5,0,1,1,0,3,0,3,1,0,4,3,5,1,10,0,1,1,0,1,8.478642122581173,4,5.510500000000006,146.3443999999998,1,2,1,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CC(C)(C(=O)O)c1ccc(CCCN2CCC(=C3c4ccc(Cl)cc4CCc4cccnc43)CC2)c(F)c1,7.661344334421299,14.740352787465415,14.740352787465415,0.31871635351488803,-1.1115591169036163,0.37635500930477345,16.105263157894736,533.0870000000002,498.81500000000034,532.2292842280001,198,0,0.3130481243198958,-0.4805900839180315,0.4805900839180315,0.3130481243198958,1.0526315789473684,1.8157894736842106,2.5526315789473686,35.4956923000063,9.838760736066233,2.299481603519393,-2.3005711066206533,2.381361807317004,-2.3196599301700855,6.302818725050469,-0.14201546503131074,3.0625296674224667,1.2605515777055243,1352.5357346372375,26.863232072819905,22.065931476367755,22.82186042238621,18.23522057429766,13.43536089919181,13.813325372201037,10.97269047778105,11.409126258253036,8.171424343253104,8.406521446040847,5.685218981918293,5.8799192082932095,-3.0199999999999987,373218987.7073452,26.581708102535643,10.994317006459033,5.407210930244386,228.722497041529,10.006437125691184,5.817220841045895,0.0,0.0,0.0,5.969305287951849,9.77851570501903,4.39041504767482,0.0,0.0,41.43951269414822,110.99988627518131,29.88209422724882,11.10891846424524,14.291479626587348,23.14334970825363,0.0,9.883888251797686,0.0,57.787394606334104,19.634269217737724,104.6519242574959,0.0,0.0,0.0,4.39041504767482,0.0,11.600939890232516,40.59399015232797,29.47199252224663,5.817220841045895,66.6211247214927,60.30088464937523,5.022633313741326,5.573104530069267,0.0,53.43,11.384295757348628,14.291479626587348,0.0,5.817220841045895,17.547724606320003,62.45493864095756,33.90293060369113,25.980208536304467,18.3295777085363,23.099010936235306,16.584918411179725,14.740352787465415,6.351042878892565,18.78787279517488,10.200410242059768,7.726140606917369,-1.2775209891645165,15.3381571473126,7.282289717275529,6.045699258510837,0.0,0.375,38,1,4,1,1,2,0,2,1,3,0,0,3,1,6,2,6,0,1,1,0,0,7.690729617169407,5,6.865400000000007,150.17579999999978,1,0,0,0,0,1,0,0,1,1,1,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
