action_type,activity_comment,activity_id,activity_properties,assay_chembl_id,assay_description,assay_type,assay_variant_accession,assay_variant_mutation,bao_endpoint,bao_format,bao_label,canonical_smiles,data_validity_comment,data_validity_description,document_chembl_id,document_journal,document_year,ligand_efficiency,molecule_chembl_id,molecule_pref_name,parent_molecule_chembl_id,pchembl_value,potential_duplicate,qudt_units,record_id,relation,src_id,standard_flag,standard_relation,standard_text_value,standard_type,standard_units,standard_upper_value,standard_value,target_chembl_id,target_organism,target_pref_name,target_tax_id,text_value,toid,type,units,uo_units,upper_value,value
,,146647,[],CHEMBL692983,Inhibitory activity against human Histamine H1 receptor,B,,,BAO_0000190,BAO_0000357,single protein format,NCCCCCCCCCCCCCc1c[nH]cn1,,,CHEMBL1145948,J Med Chem,2003.0,"{'bei': '22.23', 'le': '0.42', 'lle': '1.70', 'sei': '10.79'}",CHEMBL156071,,CHEMBL156071,5.90,0,http://www.openphacts.org/units/Nanomolar,302402,=,1,1,=,,IC50,nM,,1258.93,CHEMBL231,Homo sapiens,Histamine H1 receptor,9606,,,Log IC50,,UO_0000065,,-5.9
,,149038,[],CHEMBL692983,Inhibitory activity against human Histamine H1 receptor,B,,,BAO_0000190,BAO_0000357,single protein format,NCCCCCCCCCCCCc1cccnc1,,,CHEMBL1145948,J Med Chem,2003.0,"{'bei': '22.48', 'le': '0.42', 'lle': '1.42', 'sei': '15.16'}",CHEMBL152122,,CHEMBL152122,5.90,0,http://www.openphacts.org/units/Nanomolar,302411,=,1,1,=,,IC50,nM,,1258.93,CHEMBL231,Homo sapiens,Histamine H1 receptor,9606,,,Log IC50,,UO_0000065,,-5.9
,,149041,[],CHEMBL692983,Inhibitory activity against human Histamine H1 receptor,B,,,BAO_0000190,BAO_0000357,single protein format,NCCc1c[nH]c(-c2cccc(C(F)(F)F)c2)n1,,,CHEMBL1145948,J Med Chem,2003.0,"{'bei': '23.51', 'le': '0.46', 'lle': '3.40', 'sei': '10.97'}",CHEMBL24665,,CHEMBL24665,6.00,0,http://www.openphacts.org/units/Nanomolar,302407,=,1,1,=,,IC50,nM,,1000.0,CHEMBL231,Homo sapiens,Histamine H1 receptor,9606,,,Log IC50,,UO_0000065,,-6.0
,,150189,[],CHEMBL692983,Inhibitory activity against human Histamine H1 receptor,B,,,BAO_0000190,BAO_0000357,single protein format,NCCCCCCCCCCc1cccnc1,,,CHEMBL1145948,J Med Chem,2003.0,"{'bei': '23.89', 'le': '0.45', 'lle': '1.90', 'sei': '14.39'}",CHEMBL157842,,CHEMBL157842,5.60,0,http://www.openphacts.org/units/Nanomolar,302394,=,1,1,=,,IC50,nM,,2511.89,CHEMBL231,Homo sapiens,Histamine H1 receptor,9606,,,Log IC50,,UO_0000065,,-5.6
,,152698,[],CHEMBL692983,Inhibitory activity against human Histamine H1 receptor,B,,,BAO_0000190,BAO_0000357,single protein format,NCCCCCCCCCCc1c[nH]cn1,,,CHEMBL1145948,J Med Chem,2003.0,"{'bei': '28.21', 'le': '0.54', 'lle': '3.27', 'sei': '11.52'}",CHEMBL94249,,CHEMBL94249,6.30,0,http://www.openphacts.org/units/Nanomolar,302375,=,1,1,=,,IC50,nM,,501.19,CHEMBL231,Homo sapiens,Histamine H1 receptor,9606,,,Log IC50,,UO_0000065,,-6.3
,,153890,[],CHEMBL692983,Inhibitory activity against human Histamine H1 receptor,B,,,BAO_0000190,BAO_0000357,single protein format,c1nc(CCCCCCCCCCN2CCCC2)c[nH]1,,,CHEMBL1145948,J Med Chem,2003.0,"{'bei': '23.07', 'le': '0.44', 'lle': '2.23', 'sei': '20.05'}",CHEMBL157217,,CHEMBL157217,6.40,0,http://www.openphacts.org/units/Nanomolar,302399,=,1,1,=,,IC50,nM,,398.11,CHEMBL231,Homo sapiens,Histamine H1 receptor,9606,,,Log IC50,,UO_0000065,,-6.4
,,157544,[],CHEMBL692983,Inhibitory activity against human Histamine H1 receptor,B,,,BAO_0000190,BAO_0000357,single protein format,NCCCCCCCCCCc1ccncc1,,,CHEMBL1145948,J Med Chem,2003.0,"{'bei': '23.89', 'le': '0.45', 'lle': '1.90', 'sei': '14.39'}",CHEMBL359122,,CHEMBL359122,5.60,0,http://www.openphacts.org/units/Nanomolar,302410,=,1,1,=,,IC50,nM,,2511.89,CHEMBL231,Homo sapiens,Histamine H1 receptor,9606,,,Log IC50,,UO_0000065,,-5.6
,,158797,[],CHEMBL692983,Inhibitory activity against human Histamine H1 receptor,B,,,BAO_0000190,BAO_0000357,single protein format,NCCCCCCCCCCCCCCc1c[nH]cn1,,,CHEMBL1145948,J Med Chem,2003.0,"{'bei': '20.40', 'le': '0.39', 'lle': '1.11', 'sei': '10.42'}",CHEMBL155314,,CHEMBL155314,5.70,0,http://www.openphacts.org/units/Nanomolar,302401,=,1,1,=,,IC50,nM,,1995.26,CHEMBL231,Homo sapiens,Histamine H1 receptor,9606,,,Log IC50,,UO_0000065,,-5.7
,,159935,[],CHEMBL692983,Inhibitory activity against human Histamine H1 receptor,B,,,BAO_0000190,BAO_0000357,single protein format,c1nc(CCCCCCCCCCCCN2CCCC2)c[nH]1,,,CHEMBL1145948,J Med Chem,2003.0,"{'bei': '17.68', 'le': '0.34', 'lle': '0.45', 'sei': '16.92'}",CHEMBL152221,,CHEMBL152221,5.40,0,http://www.openphacts.org/units/Nanomolar,302398,=,1,1,=,,IC50,nM,,3981.07,CHEMBL231,Homo sapiens,Histamine H1 receptor,9606,,,Log IC50,,UO_0000065,,-5.4
,,161168,[],CHEMBL692983,Inhibitory activity against human Histamine H1 receptor,B,,,BAO_0000190,BAO_0000357,single protein format,NCCCCCCCCCCCCc1c[nH]cn1,,,CHEMBL1145948,J Med Chem,2003.0,"{'bei': '23.86', 'le': '0.46', 'lle': '2.19', 'sei': '10.97'}",CHEMBL155188,,CHEMBL155188,6.00,0,http://www.openphacts.org/units/Nanomolar,302378,=,1,1,=,,IC50,nM,,1000.0,CHEMBL231,Homo sapiens,Histamine H1 receptor,9606,,,Log IC50,,UO_0000065,,-6.0
